dataset,mean_mcc,std_mcc,dataset_raw,dataset_label,variant
10_7717_peerj_5665_dataYM2018_neuroblastoma,0.4380024772075552,0.1408884817215495,10_7717_peerj_5665_dataYM2018_neuroblastoma,Neuroblastoma,Base
dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,0.8024271778708362,0.0883549129622225,dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,Pediatric Brain Tumor,Base
dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,0.1994688445655967,0.0685673398133591,dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,Colorectal Cancer,Base
journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,0.5261181737282384,0.0858989772833338,journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,Sepsis SIRS,Base
journal.pone.0158570_S2File_depression_heart_failure,0.9988747051148456,0.0064799972002427,journal.pone.0158570_S2File_depression_heart_failure,Depression Heart Failure,Base
10_7717_peerj_5665_dataYM2018_neuroblastoma,0.4967177057373539,0.1388749985598892,10_7717_peerj_5665_dataYM2018_neuroblastoma,Neuroblastoma,Optimized
dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,0.8094569253933385,0.0808531710631031,dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,Pediatric Brain Tumor,Optimized
dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,0.1945784371429161,0.0631181253115173,dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,Colorectal Cancer,Optimized
journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,0.5098573883242681,0.0896182470997705,journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,Sepsis SIRS,Optimized
journal.pone.0158570_S2File_depression_heart_failure,0.9957575086535247,0.0168773319210613,journal.pone.0158570_S2File_depression_heart_failure,Depression Heart Failure,Optimized
10_7717_peerj_5665_dataYM2018_neuroblastoma,0.509122483364383,0.127410205457245,10_7717_peerj_5665_dataYM2018_neuroblastoma,Neuroblastoma,R
dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,0.799685746340979,0.0872038159511219,dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,Pediatric Brain Tumor,R
dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,0.193375544153584,0.0672609285709389,dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,Colorectal Cancer,R
journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,0.529720919624115,0.0952621926371138,journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,Sepsis SIRS,R
journal.pone.0158570_S2File_depression_heart_failure,0.992359301677467,0.0217469134926186,journal.pone.0158570_S2File_depression_heart_failure,Depression Heart Failure,R
